song_id,title,artist,genre,tempo,energy,danceability,mood
1,Pop,Harry Styles,Pop,123,0.635,0.779,Chill
2,WILDFLOWER,Billie Eilish,Alternative,146,0.453,0.482,Chill
3,Take Me to Church,Hozier,Alternative,94,0.475,0.796,Sad
4,Something Just Like This,The Chainsmokers & Coldplay,Dance,125,0.614,0.71,Energetic
5,Believer,Imagine Dragons,Alternative,125,0.815,0.627,Sad
6,You Say,Lauren Daigle,Christian,107,0.731,0.547,Energetic
7,When I Was Your Man,Bruno Mars,Pop,110,0.702,0.73,Energetic
8,Watermelon Sugar,Harry Styles,Pop,95,0.758,0.623,Happy
9,As It Was,Harry Styles,Pop,130,0.613,0.887,Energetic
10,Meant to Be,Bebe Rexha & Florida Georgia Line,Pop,95,0.791,0.774,Energetic
11,Let Me Love You,Mario,R&B/Soul,117,0.46,0.507,Chill
12,You Need To Calm Down,Taylor Swift,Pop,104,0.863,0.894,Energetic
13,POP!,NAYEON,Dance,145,0.773,0.969,Happy
14,Closer (feat. Halsey),The Chainsmokers,Dance,132,0.833,0.76,Energetic
15,Señorita,Shawn Mendes & Camila Cabello,Pop,98,0.756,0.658,Happy
16,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Country,127,0.755,0.73,Chill
17,Love In This Club (feat. Young Jeezy),USHER,R&B/Soul,76,0.658,0.791,Happy
18,Set Fire to the Rain,Adele,Pop,126,0.775,0.838,Happy
19,My House,Flo Rida,Hip-Hop/Rap,85,0.678,0.729,Energetic
20,We Belong Together,Mariah Carey,Pop,109,0.772,0.657,Happy
21,Delicate,Taylor Swift,Pop,116,0.633,0.79,Chill
22,This Is What You Came For,Calvin Harris & Rihanna,Dance,132,0.828,0.694,Happy
23,The Middle,"Zedd, Maren Morris & Grey",Dance,141,0.676,0.652,Energetic
24,Stay,Zedd & Alessia Cara,Dance,128,0.794,0.683,Happy
25,Danza Kuduro (feat. Lucenzo),Don Omar,Urbano latino,121,0.724,0.926,Energetic
26,Levitating (feat. DaBaby),Dua Lipa,Pop,104,0.805,0.743,Happy
27,Versace On The Floor,Bruno Mars,Pop,127,0.844,0.74,Energetic
28,Dark Horse (feat. Juicy J),Katy Perry,Pop,121,0.858,0.89,Happy
29,One Kiss,"Calvin Harris, Dua Lipa",Dance,124,0.89,0.878,Energetic
30,Omg (feat. will.i.am),USHER,R&B/Soul,71,0.433,0.761,Happy
31,Jingle Bell Rock,Bobby Helms,Holiday,92,0.504,0.354,Happy
32,Just the Way You Are,Bruno Mars,Pop,121,0.594,0.801,Energetic
33,Talking to the Moon,Bruno Mars,Pop,105,0.606,0.863,Chill
34,Memories,Maroon 5,Pop,118,0.763,0.699,Chill
35,Wildest Dreams,Taylor Swift,Pop,129,0.67,0.824,Energetic
36,Grenade,Bruno Mars,Pop,108,0.699,0.804,Happy
37,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN & Taylor Swift,Soundtrack,83,0.511,0.172,Sad
38,Low (feat. T-Pain),Flo Rida,Hip-Hop/Rap,130,0.725,0.626,Happy
39,I Want It That Way,Backstreet Boys,Pop,125,0.702,0.831,Energetic
40,Wait a Minute!,WILLOW,Alternative,89,0.67,0.379,Energetic
41,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,R&B/Soul,80,0.504,0.489,Happy
42,...Ready For It?,Taylor Swift,Pop,127,0.832,0.756,Energetic
43,Rock Your Body,Justin Timberlake,Pop,101,0.72,0.825,Chill
